web-scraper-order,web-scraper-start-url,link,link-href,title,area,price,rooms,address,advertiser
"1598196158-3038","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=10&rows=100","Graz Altstadt: Penthouse mit Schloßbergblick","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/graz-altstadt-penthouse-mit-schlossbergblick-328805502/","Graz Altstadt: Penthouse mit Schloßbergblick","264 m","2.963,20","5 Zimmer","8010
    
    
        Graz","Hier Zuhause e.U."
"1598196184-3971","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=1&rows=100","WOHNEN IN TOP LAGE *WALTENDORF*!! 2 SONNIGE BALKONE!! TOLLE AUFTEILUNG...","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/wohnen-in-top-lage-waltendorf-2-sonnige-balkone-tolle-aufteilung-video-besichtigung-ab-sofort-beziehbar-402363783/","WOHNEN IN TOP LAGE *WALTENDORF*!! 2 SONNIGE BALKONE!! TOLLE AUFTEILUNG...","100 m","996,78","3 Zimmer","8042
    
    
        Graz","PW Projekt Wohnen"
"1598196105-1125","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=29&rows=100","TOP WG-fähig! 3-Zimmer, 90m² Whg. mit Wohnküche u. 2 Balkonen, € 820, - inkl. BK/ HK","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/top-wg-faehig-3-zimmer-90m-whg-mit-wohnkueche-u-2-balkonen-euro-820-inkl-bk-hk-385352516/","TOP WG-fähig! 3-Zimmer, 90m² Whg. mit Wohnküche u. 2 Balkonen, € 820, - inkl. BK/ HK","90 m","700,-","3 Zimmer","8041
    
    
        Liebenau","Sutter Immobilien"
"1598196105-1175","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=29&rows=100","Single-Wohnung bei der TU - Petersgasse 15 - Top 21","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/single-wohnung-bei-der-tu-petersgasse-15-top-21-398133993/","Single-Wohnung bei der TU - Petersgasse 15 - Top 21","21 m","322,07","1 Zimmer","8010
    
    
        Graz","IVV Verkauf und Vermietungs GmbH"
"1598196172-3523","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=5&rows=100","NEUE 2 ZIMMER ERSTBEZUGSWOHNUNG IN DEN REININGHAUSGRÜNDEN - TOP AUSSTATTUNG -...","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/neue-2-zimmer-erstbezugswohnung-in-den-reininghausgruenden-top-ausstattung-provisionsfrei-401998807/","NEUE 2 ZIMMER ERSTBEZUGSWOHNUNG IN DEN REININGHAUSGRÜNDEN - TOP AUSSTATTUNG -...","50 m","671,-","2 Zimmer","8020
    
    
        Graz","teamneunzehn.at Immobilienmanagement GmbH & Co KG"
"1598196136-2190","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=18&rows=100","Schnell am Hauptplatz - 3-4 ZIMMER und KÜCHE - NEU SANIERT - Parkplatz","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/schnell-am-hauptplatz-3-4-zimmer-und-kueche-neu-saniert-parkplatz-400446142/","Schnell am Hauptplatz - 3-4 ZIMMER und KÜCHE - NEU SANIERT - Parkplatz","103 m","749,-","3 Zimmer","8020
    
    
        Graz","Immobilien Huber"
"1598196093-773","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=33&rows=100","Annenstraße 32/34 - Helle Maisonettenwohnung mit Ausblick","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/annenstrasse-32-34-helle-maisonettenwohnung-mit-ausblick-397023383/","Annenstraße 32/34 - Helle Maisonettenwohnung mit Ausblick","71 m","668,63","2 Zimmer","8020
    
    
        Graz","Wesiak Gesellschaft m.b.H."
"1598196107-1234","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=28&rows=100","Tolle Kleinwohnung ideal für Single oder Pärchen - Provisionsfrei","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/tolle-kleinwohnung-ideal-fuer-single-oder-paerchen-provisionsfrei-391952515/","Tolle Kleinwohnung ideal für Single oder Pärchen - Provisionsfrei","45 m","499,-","1 Zimmer","8041
    
    
        Graz","RIOG Rudolf Immobilien OG"
"1598196102-1032","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=30&rows=100","Graz-St. Peter : Garconniere mit Balkon bei TU-Inffeld - provisionsfrei!","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/graz-st-peter-garconniere-mit-balkon-bei-tu-inffeld-provisionsfrei-358493938/","Graz-St. Peter : Garconniere mit Balkon bei TU-Inffeld - provisionsfrei!","34 m","380,59","1 Zimmer","8042
    
    
        Graz","GGW Gemeinn. Grazer Wohnungsgenossenschaft mbH"
"1598196085-466","https://www.willhaben.at/iad/immobilien/mietwohnungen/mietwohnung-angebote?areaId=601&parent_areaid=6&page=36&rows=100","2-Zimmerwohnung in der in der Nähe des Augarten-Parks","https://www.willhaben.at/iad/immobilien/d/mietwohnungen/steiermark/graz/2-zimmerwohnung-in-der-in-der-naehe-des-augarten-parks-396090540/","2-Zimmerwohnung in der in der Nähe des Augarten-Parks","53 m","545,-","2 Zimmer","8010
    
    
        Graz","Privat"
